start,end,text
7.473,16.16,"The robotic duodenal switch procedure begins with the surgeon using laparoscopic instruments to run the small bowel, marking key anatomical points along its length."
16.66,56.913,"The surgeon runs the bowel for 120 centimeters to establish the common channel, marking it with a silk suture. An additional 130 centimeters of bowel is run to create a total alimentary limb of 250 centimeters, marked with sutures at the 250-centimeter point. The bowel is positioned to reach the future duodenal stump for anastomosis."
57.413,75.174,"The robotic system is docked, and the surgeon identifies the pylorus region, placing a stitch to mark its location for easier identification during later dissection."
75.674,133.302,"The surgeon creates a traditional sleeve gastrectomy using a 40 French bougie, ensuring not to hug the bougie too closely due to the duodenal switch procedure. The sleeve is formed using a stapler, starting with a black cartridge for the initial firing and switching to green cartridges for subsequent firings."
133.802,179.778,"The surgeon mobilizes the peritoneum superior and inferior to the duodenal bulb, creating a tunnel around the duodenum to facilitate the use of a stapler. The robotic platform is used for this dissection, which lacks haptic feedback."
180.278,196.677,"The surgeon positions the anvil part of the surgical stapler on the inferior edge of the duodenum, preparing for the stapling process."
197.177,227.463,"The surgeon performs a hand-sewn anastomosis between the duodenum and ileum, starting with a posterior row of Duovicro sutures to alleviate tension and align the two structures accurately."
227.963,308.153,"The surgeon uses a hook cautery to perform a duodenotomy and iliotomy, creating openings for the hand-sewn anastomosis. A vessel sealer is employed to ensure generous openings, distinct from those in a gastric bypass. Tool Vicro is used to tie two sutures together, with one suture run from the midline and the other run backwards, incorporating a canal stitch around the corners."
308.653,362.089,"The surgeon runs the small bowel distally to reach the 120-centimeter point, where the ileoileostomy is created. The common enterotomy is then closed using a running suture with a tool vial."
362.589,405.093,"The surgeon uses a permanent tool to perform a running closure of the mesenteric defect. The loop of ileum that was previously brought up is transected, forming the Roux-en-Y configuration characteristic of the duodenal switch procedure."
405.593,418.594,The surgeon tests the hand-sewn anastomosis between the duodenum and ileum by insufflating air into the anastomosis while applying fluid to check for leaks.
419.094,420.738,Thank you for watching this video.
